state,lat,lon,deaths,code,region,division,income,population
Alabama,32.75,-86.75,402,AL,South,East South Central,51734,4903185
Alaska,64,-150,176,AK,West,Pacific,75463,731545
Arizona,34.5,-111.5,417,AZ,West,Mountain,62055,7278717
Arkansas,34.75,-92.5,382,AR,South,West South Central,48952,3017804
California,37.25,-119.75,232,CA,West,Pacific,80440,39512223
Colorado,39,-105.5,219,CO,West,Mountain,77127,5758736
Connecticut,41.6227,-72.7028,309,CT,Northeast,New England,78833,3565287
Delaware,38.6716,-75.4165,305,DE,South,South Atlantic,70176,973764
District of Columbia,38.91,-77,191,DC,South,South Atlantic,92266,705749
Florida,28.42,-81.55,349,FL,South,South Atlantic,59227,21477737
Georgia,32.1598,-83.4715,361,GA,South,South Atlantic,61980,10617423
Hawaii,20.79,-156.34,103,HI,West,Pacific,83102,1415872
Idaho,44.0739,-114.542,277,ID,West,Mountain,60999,1787065
Illinois,40,-89.25,302,IL,Midwest,East North Central,69187,12671821
Indiana,40,-86.25,353,IN,Midwest,East North Central,57603,6732219
Iowa,42,-93.5,305,IA,Midwest,West North Central,61691,3155070
Kansas,38.5,-98.5,307,KS,Midwest,West North Central,62087,2913314
Kentucky,37.79,-84.87,359,KY,South,East South Central,52295,4467673
Louisiana,30.6935,-92.241,373,LA,South,West South Central,51073,4648794
Maine,45.5,-69.24,179,ME,Northeast,New England,58924,1344212
Maryland,39.4444,-77.0834,243,MD,South,South Atlantic,86738,6045680
Massachusetts,42.3616,-72.1839,301,MA,Northeast,New England,85843,6892503
Michigan,43.1045,-84.6165,366,MI,Midwest,East North Central,59584,9986857
Minnesota,46.25,-94.25,231,MN,Midwest,West North Central,74593,5639632
Mississippi,33.503,-89.8071,419,MS,South,East South Central,45792,2976149
Missouri,38.25,-92.5,339,MO,Midwest,West North Central,57409,6137428
Montana,47,-109.75,321,MT,West,Mountain,57153,1068778
Nebraska,41.5,-99.75,224,NE,Midwest,West North Central,63229,1934408
Nevada,39.25,-116.75,355,NV,West,Mountain,63276,3080156
New Hampshire,43.66,-71.49,188,NH,Northeast,New England,77933,1359711
New Jersey,40.16,-74.49,381,NJ,Northeast,Middle Atlantic,85751,8882190
New Mexico,34.5,-106,375,NM,West,Mountain,51945,2096829
New York,43,-75.49,356,NY,Northeast,Middle Atlantic,72108,19453561
North Carolina,35.5,-80,239,NC,South,South Atlantic,57341,10488084
North Dakota,47.5,-100,300,ND,Midwest,West North Central,64577,762062
Ohio,40.25,-83,331,OH,Midwest,East North Central,58642,11689100
Oklahoma,35.5,-97.5,408,OK,South,West South Central,54449,3956971
Oregon,44,-120.5,182,OR,West,Pacific,67058,4217737
Pennsylvania,40.86,-77.9,355,PA,Northeast,Middle Atlantic,63463,12801989
Rhode Island,41.4966,-71.4757,339,RI,Northeast,New England,71169,1059361
South Carolina,34,-81,349,SC,South,South Atlantic,56227,5148714
South Dakota,44.5,-100.25,331,SD,Midwest,West North Central,59533,884659
Tennessee,35.75,-86.25,388,TN,South,East South Central,56071,6829174
Texas,31.25,-99.25,305,TX,South,West South Central,64034,28995881
Utah,39.25,-111.75,150,UT,West,Mountain,75780,3205958
Vermont,44.1584,-72.7678,108,VT,Northeast,New England,63001,623989
Virginia,37.77,-78.24,239,VA,South,South Atlantic,76456,8535519
Washington,47.5,-120.5,171,WA,West,Pacific,78687,7614893
West Virginia,38.63,-80.73,391,WV,South,South Atlantic,48850,1792147
Wisconsin,44.5,-90,252,WI,Midwest,East North Central,64168,5822434
Wyoming,43,-107.5,315,WY,West,Mountain,65003,578759